date,parameter_type,mean_value,std_value,min_value,max_value,valid_pixel_count,total_pixel_count,quality_ratio
2022-05-14,chlorophyll_a,0.5673,0.4273,0.0,2.0,509364,19897850,0.0256
2022-05-21,chlorophyll_a,0.4969,0.3445,0.0,2.0,832820,19897850,0.0419
2022-05-28,chlorophyll_a,0.4667,0.4095,0.0,2.0,1015744,19902715,0.051
2022-06-04,chlorophyll_a,0.5566,0.4067,0.0,2.0,504838,19897850,0.0254
2022-06-11,chlorophyll_a,0.5622,0.3612,0.0,2.0,406702,19897850,0.0204
2022-06-18,chlorophyll_a,0.4063,0.2097,0.0,2.0,1511441,19902715,0.0759
2022-06-25,chlorophyll_a,0.4601,0.4008,0.0,2.0,751421,19902715,0.0378
2022-07-02,chlorophyll_a,0.4273,0.2405,0.0,2.0,1339133,19897850,0.0673
2022-07-09,chlorophyll_a,0.4007,0.3134,0.0,2.0,902278,19902715,0.0453
2022-07-16,chlorophyll_a,0.6042,0.4155,0.0,2.0,464423,19902715,0.0233
2022-07-23,chlorophyll_a,0.4494,0.2779,0.0,2.0,982635,19897850,0.0494
2022-07-30,chlorophyll_a,0.4539,0.5033,0.0,2.0,577109,19897850,0.029
2022-08-06,chlorophyll_a,0.3602,0.2454,0.0,2.0,1345398,19902715,0.0676
2022-08-13,chlorophyll_a,0.5205,0.4646,0.0,2.0,558636,19902715,0.0281
2022-08-20,chlorophyll_a,0.5164,0.4295,0.0,2.0,398530,19902715,0.02
2022-08-27,chlorophyll_a,0.5777,0.4594,0.0,2.0,349521,19902715,0.0176
2022-09-03,chlorophyll_a,0.681,0.3401,0.0,2.0,423415,19902715,0.0213
2022-09-10,chlorophyll_a,0.2715,0.3583,0.0,2.0,550127,19902715,0.0276
2022-09-17,chlorophyll_a,0.5835,0.4388,0.0,2.0,336977,19902715,0.0169
2022-09-24,chlorophyll_a,0.329,0.3903,0.0,2.0,1074810,19902715,0.054
2022-09-30,chlorophyll_a,0.3789,0.3438,0.0,2.0,2678164,19902715,0.1346
2024-07-07,chlorophyll_a,0.3738,0.2043,0.0,2.0,1165903,19897850,0.0586
2024-07-07,sst,21.9201,3.7503,-1.862,35.784,681904,1800000,0.3788
2021-05-07,sst,17.4757,9.8762,-2.0,45.0,26101146,60591000,0.4308
2021-05-14,sst,16.9847,10.6554,-2.0,45.0,25107704,60591000,0.4144
2021-05-21,sst,17.6284,10.3726,-2.0,45.0,22878310,60591000,0.3776
2021-05-28,sst,16.7894,10.378,-2.0,45.0,26056828,60591000,0.43
2021-06-04,sst,18.2881,9.8232,-2.0,45.0,25969538,60592500,0.4286
2021-06-11,sst,16.4366,10.5236,-2.0,45.0,27230545,60591000,0.4494
2021-06-18,sst,16.0754,10.6693,-2.0,45.0,29297824,60591000,0.4835
2021-06-25,sst,15.7505,10.4546,-2.0,45.0,28125331,60591000,0.4642
2021-07-02,sst,14.8821,10.6309,-2.0,45.0,26977886,60592500,0.4452
2021-07-09,sst,17.4805,10.2613,-2.0,45.0,27454067,60592500,0.4531
2021-07-16,sst,15.7889,9.8558,-2.0,45.0,29453478,60591000,0.4861
2021-07-23,sst,16.1844,9.6802,-2.0,45.0,28975788,60591000,0.4782
2021-07-30,sst,17.5835,10.1963,-2.0,45.0,28178597,60591000,0.4651
2021-08-06,sst,15.1125,9.8325,-2.0,45.0,26756915,60588000,0.4416
2021-08-13,sst,17.4182,10.2633,-2.0,45.0,28737840,60592500,0.4743
2021-08-20,sst,17.8962,9.6586,-2.0,45.0,29003954,60591000,0.4787
2021-08-27,sst,17.4317,10.2344,-2.0,45.0,27897813,60591000,0.4604
2021-09-03,sst,17.0578,10.3794,-2.0,45.0,28996283,60592500,0.4785
2021-09-10,sst,18.5652,10.3526,-2.0,45.0,25713684,60591000,0.4244
2021-09-17,sst,17.7472,9.7906,-2.0,45.0,25770830,60592500,0.4253
2021-09-24,sst,16.3309,10.8106,-2.0,45.0,26874402,60592500,0.4435
2021-09-30,sst,17.3984,10.4245,-2.0,45.0,25413965,60592500,0.4194
2022-05-07,sst,18.7085,9.8652,-2.0,45.0,24135371,60591000,0.3983
2022-05-14,sst,18.7984,10.1745,-2.0,45.0,24659933,60591000,0.407
2022-05-21,sst,17.4911,10.4943,-2.0,45.0,26435350,60592500,0.4363
2022-05-28,sst,17.0184,10.7063,-2.0,45.0,25276933,60591000,0.4172
2022-06-04,sst,15.8341,11.0854,-2.0,45.0,27551445,60591000,0.4547
2022-06-11,sst,16.8178,11.1208,-2.0,45.0,26492990,60591000,0.4372
2022-06-18,sst,16.8958,10.144,-2.0,45.0,28527088,60591000,0.4708
2022-06-25,sst,16.3836,10.1066,-2.0,45.0,25040614,60591000,0.4133
2022-07-02,sst,14.9372,9.6545,-2.0,45.0,30485639,60591000,0.5031
2022-07-09,sst,15.0943,9.8321,-2.0,45.0,28066429,60591000,0.4632
2022-07-16,sst,15.2438,9.7049,-2.0,45.0,27928652,60591000,0.4609
2022-07-23,sst,15.7548,10.0493,-2.0,45.0,28891389,60591000,0.4768
2022-07-30,sst,16.4948,10.3507,-2.0,45.0,28701972,60589500,0.4737
2022-08-06,sst,16.3447,9.9695,-2.0,45.0,30098644,60594000,0.4967
2022-08-13,sst,15.4025,10.1801,-2.0,45.0,27712518,60592500,0.4574
2022-08-20,sst,17.9612,10.1692,-2.0,45.0,28033146,60591000,0.4627
2022-08-27,sst,18.4869,10.5319,-2.0,45.0,27224574,60591000,0.4493
2022-09-03,sst,17.9083,9.8584,-2.0,45.0,27281869,60592500,0.4503
2022-09-10,sst,18.9071,10.2453,-2.0,45.0,26209535,60592500,0.4326
2022-09-17,sst,17.3365,9.9315,-2.0,45.0,26850393,60591000,0.4431
2022-09-24,sst,17.7204,10.0274,-2.0,45.0,25913731,60591000,0.4277
2022-09-30,sst,17.9968,9.4749,-2.0,45.0,22585279,60594000,0.3727
